tiempo,prop_sintomaticos
36,0
72,0
108,0
144,0
180,0
216,0
252,0
288,0
324,0
360,0
396,0
432,0
468,0
504,0
540,0
576,0
612,0
648,0
684,0
720,0
756,0
792,0
828,0
864,0
900,0
936,0
972,0
1008,0
1044,0
1080,0
1116,0
1152,0
1188,0
1224,0
1260,0
1296,0
1332,0
1368,0
1404,0
1440,0
1476,0
1512,0
1548,0
1584,0
1620,0
1656,0
1692,0
1728,0
1764,0
1800,0
1836,0
1872,0
1908,0
1944,0
1980,0
2016,0
2052,0
2088,0
2124,0
2160,0
2196,0
2232,0
2268,0
2304,0
2340,0
2376,0
2412,0
2448,0
2484,0
2520,0
2556,0
2592,0
2628,0
2664,0
2700,0
2736,0
2772,0
2808,0
2844,0
2880,0
2916,0
2952,0
2988,0
3024,0
3060,0
3096,0
3132,0
3168,0
3204,0
3240,0
3276,0
3312,0
3348,0
3384,0
3420,0
3456,0
3492,0
3528,0
3564,0
3600,0
3636,0
3672,0
3708,0
3744,0
3780,0
3816,0
3852,0
3888,0
3924,0
3960,0
3996,0
4032,0
4068,0
4104,0
4140,0
4176,0
4212,0
4248,0
4284,0
4320,0
4356,0
4392,0
4428,0
4464,0
4500,0
4536,0
4572,0
4608,0
4644,0
4680,0
4716,0
4752,0
4788,0
4824,0
4860,0
4896,0
4932,0
4968,0
5004,0
5040,0
5076,0
5112,0
5148,0
5184,0
5220,0
5256,0
5292,0
5328,0
5364,0
5400,0
5436,0
5472,0
5508,0
5544,0
5580,0
5616,0
5652,0
5688,0
5724,0
5760,0
5796,0
5832,0
5868,0
5904,0
5940,0
5976,0
6012,0
6048,0
6084,0
6120,0
6156,0
6192,0
6228,0
6264,0
6300,0
6336,0
6372,0
6408,0
6444,0
6480,0
6516,0
6552,0
6588,0
6624,0
6660,0
6696,0
6732,0
6768,0
6804,0
6840,0
6876,0
6912,0
6948,0
6984,0
7020,0
7056,0
7092,0
7128,0
7164,0
7200,0
7236,0
7272,0
7308,0
7344,0
7380,0
7416,0
7452,0
7488,0
7524,0
7560,0
7596,0
7632,0
7668,0
7704,0
7740,0
7776,0
7812,0
7848,0
7884,0
7920,0
7956,0
7992,0
8028,0
8064,0
8100,0
8136,0
8172,0
8208,0
8244,0
8280,0
8316,0
8352,0
8388,0
8424,0
8460,0
8496,0
8532,0
8568,0
8604,0
8640,0
8676,0
8712,0
8748,0
8784,0
8820,0
8856,0
8892,0
8928,0
8964,0
9000,0
9036,0
9072,0
9108,0
9144,0
9180,0
9216,0
9252,0
9288,0
9324,0
9360,0
9396,0
9432,0
9468,0
9504,0
9540,0
9576,0
9612,0
9648,0
9684,0
9720,0
9756,0
9792,0
9828,0
9864,0
9900,0
9936,0
9972,0
10008,0
10044,0
10080,0
10116,0
10152,0
10188,0
10224,0
10260,0
10296,0
10332,0
10368,0
10404,0
10440,0
10476,0
10512,0
10548,0
10584,0
10620,0
10656,0
10692,0
10728,0
10764,0
10800,0
10836,0
10872,0
10908,0
10944,0
10980,0
11016,0
11052,0
11088,0
11124,0
11160,0
11196,0
11232,0
11268,0
11304,0
11340,0
11376,0
11412,0
11448,0
11484,0
11520,0
11556,0
11592,0
11628,0
11664,0
11700,0
11736,0
11772,0
11808,0
11844,0
11880,0
11916,0
11952,0
11988,0
12024,0
12060,0
12096,0
12132,0
12168,0
12204,0
12240,0
12276,0
12312,0
12348,0
12384,0
12420,0
12456,0
12492,0
12528,0
12564,0
12600,0
12636,0
12672,0
12708,0
12744,0
12780,0
12816,0
12852,0
12888,0
12924,0
12960,0
12996,0
13032,0
13068,0
13104,0
13140,0
13176,0
13212,0
13248,0
13284,0
13320,0
13356,0
13392,0
13428,0
13464,0
13500,0
13536,0
13572,0
13608,0
13644,0
13680,0
13716,0
13752,0
13788,0
13824,0
13860,0
13896,0
13932,0
13968,0
14004,0
14040,0
14076,0
14112,0
14148,0
14184,0
14220,0
14256,0
14292,0
14328,0
14364,0
14400,0
14436,0
14472,0
14508,0
14544,0
14580,0
14616,0
14652,0
14688,0
14724,0
14760,0
14796,0
14832,0
14868,0
14904,0
14940,0
14976,0
15012,0
15048,0
15084,0
15120,0
15156,0
15192,0
15228,0
15264,0
15300,0
15336,0
15372,0
15408,0
15444,0
15480,0
15516,0
15552,0
15588,0
15624,0
15660,0
15696,0
15732,0
15768,0
15804,0
15840,0
15876,0
15912,0
15948,0
15984,0
16020,0
16056,0
16092,0
16128,0
16164,0
16200,0
16236,0
16272,0
16308,0
16344,0
16380,0
16416,0
16452,0
16488,0
16524,0
16560,0
16596,0
16632,0
16668,0
16704,0
16740,0
16776,0
16812,0
16848,0
16884,0
16920,0
16956,0
16992,0
17028,0
17064,0
17100,0
17136,0
17172,0
17208,0
17244,0
17280,0
17316,0
17352,0
17388,0
17424,0
17460,0
17496,0
17532,0
17568,0
17604,0
17640,0
17676,0
17712,0
17748,0
17784,0
17820,0
17856,0
17892,0
17928,0
17964,0
18000,0
18036,0
18072,0
18108,0
18144,0
18180,0
18216,0
18252,0
18288,0
18324,0
18360,0
18396,0
18432,0
18468,0
18504,0
18540,0
18576,0
18612,0
18648,0
18684,0
18720,0
18756,0
18792,0
18828,0
18864,0
18900,0
18936,0
18972,0
19008,0
19044,0
19080,0
19116,0
19152,0
19188,0
19224,0
19260,0
19296,0
19332,0
19368,0
19404,0
19440,0
19476,0
19512,0
19548,0
19584,0
19620,0
19656,0
19692,0
19728,0
19764,0
19800,0
19836,0
19872,0
19908,0
19944,0
19980,0
20016,0
20052,0
20088,0
20124,0
20160,0
20196,0
20232,0
20268,0
20304,0
20340,0
20376,0
20412,0
20448,0
20484,0
20520,0
20556,0
20592,0
20628,0
20664,0
20700,0
20736,0
20772,0
20808,0
20844,0
20880,0
20916,0
20952,0
20988,0
21024,0
21060,0
21096,0
21132,0
21168,0
21204,0
21240,0
21276,0
21312,0
21348,0
21384,0
21420,0
