tiempo,frac_inf_acum,frac_inf_act
36,0.004,0
72,0.004,0
108,0.004,0
144,0.004,0
180,0.004,0
216,0.004,0
252,0.004,0
288,0.004,0
324,0.004,0
360,0.004,0
396,0.004,0
432,0.004,0
468,0.004,0
504,0.004,0
540,0.004,0
576,0.004,0
612,0.004,0
648,0.004,0
684,0.004,0
720,0.004,0
756,0.004,0
792,0.004,0
828,0.004,0
864,0.004,0
900,0.004,0
936,0.004,0
972,0.004,0
1008,0.004,0
1044,0.004,0
1080,0.004,0
1116,0.004,0
1152,0.004,0
1188,0.004,0
1224,0.004,0
1260,0.004,0
1296,0.004,0
1332,0.004,0
1368,0.004,0
1404,0.004,0
1440,0.004,0
1476,0.004,0
1512,0.004,0
1548,0.004,0
1584,0.004,0
1620,0.004,0
1656,0.004,0
1692,0.004,0
1728,0.004,0
1764,0.004,0
1800,0.004,0
1836,0.004,0
1872,0.004,0
1908,0.004,0
1944,0.004,0
1980,0.004,0
2016,0.004,0
2052,0.004,0
2088,0.004,0
2124,0.004,0
2160,0.004,0
2196,0.004,0
2232,0.004,0
2268,0.004,0
2304,0.004,0
2340,0.004,0
2376,0.004,0
2412,0.004,0
2448,0.004,0
2484,0.004,0
2520,0.004,0
2556,0.004,0
2592,0.004,0
2628,0.004,0
2664,0.004,0
2700,0.004,0
2736,0.004,0
2772,0.004,0
2808,0.004,0
2844,0.004,0
2880,0.004,0
2916,0.004,0
2952,0.004,0
2988,0.004,0
3024,0.004,0
3060,0.004,0
3096,0.004,0
3132,0.004,0
3168,0.004,0
3204,0.004,0
3240,0.004,0
3276,0.004,0
3312,0.004,0
3348,0.004,0
3384,0.004,0
3420,0.004,0
3456,0.004,0
3492,0.004,0
3528,0.004,0
3564,0.004,0
3600,0.004,0
