tiempo,frac_inmun_act,frac_dece_acum
36,0,0.004
72,0,0.004
108,0,0.004
144,0,0.004
180,0,0.004
216,0,0.004
252,0,0.004
288,0,0.004
324,0,0.004
360,0,0.004
396,0,0.004
432,0,0.004
468,0,0.004
504,0,0.004
540,0,0.004
576,0,0.004
612,0,0.004
648,0,0.004
684,0,0.004
720,0,0.004
756,0,0.004
792,0,0.004
828,0,0.004
864,0,0.004
900,0,0.004
936,0,0.004
972,0,0.004
1008,0,0.004
1044,0,0.004
1080,0,0.004
1116,0,0.004
1152,0,0.004
1188,0,0.004
1224,0,0.004
1260,0,0.004
1296,0,0.004
1332,0,0.004
1368,0,0.004
1404,0,0.004
1440,0,0.004
1476,0,0.004
1512,0,0.004
1548,0,0.004
1584,0,0.004
1620,0,0.004
1656,0,0.004
1692,0,0.004
1728,0,0.004
1764,0,0.004
1800,0,0.004
1836,0,0.004
1872,0,0.004
1908,0,0.004
1944,0,0.004
1980,0,0.004
2016,0,0.004
2052,0,0.004
2088,0,0.004
2124,0,0.004
2160,0,0.004
2196,0,0.004
2232,0,0.004
2268,0,0.004
2304,0,0.004
2340,0,0.004
2376,0,0.004
2412,0,0.004
2448,0,0.004
2484,0,0.004
2520,0,0.004
2556,0,0.004
2592,0,0.004
2628,0,0.004
2664,0,0.004
2700,0,0.004
2736,0,0.004
2772,0,0.004
2808,0,0.004
2844,0,0.004
2880,0,0.004
2916,0,0.004
2952,0,0.004
2988,0,0.004
3024,0,0.004
3060,0,0.004
3096,0,0.004
3132,0,0.004
3168,0,0.004
3204,0,0.004
3240,0,0.004
3276,0,0.004
3312,0,0.004
3348,0,0.004
3384,0,0.004
3420,0,0.004
3456,0,0.004
3492,0,0.004
3528,0,0.004
3564,0,0.004
3600,0,0.004
