tiempo,fras_sint_act,frac_cuar_act
36,0,0
72,0,0
108,0,0
144,0,0
180,0,0
216,0,0
252,0,0
288,0,0
324,0,0
360,0,0
396,0,0
432,0,0
468,0,0
504,0,0
540,0,0
576,0,0
612,0,0
648,0,0
684,0,0
720,0,0
756,0,0
792,0,0
828,0,0
864,0,0
900,0,0
936,0,0
972,0,0
1008,0,0
1044,0,0
1080,0,0
1116,0,0
1152,0,0
1188,0,0
1224,0,0
1260,0,0
1296,0,0
1332,0,0
1368,0,0
1404,0,0
1440,0,0
1476,0,0
1512,0,0
1548,0,0
1584,0,0
1620,0,0
1656,0,0
1692,0,0
1728,0,0
1764,0,0
1800,0,0
1836,0,0
1872,0,0
1908,0,0
1944,0,0
1980,0,0
2016,0,0
2052,0,0
2088,0,0
2124,0,0
2160,0,0
2196,0,0
2232,0,0
2268,0,0
2304,0,0
2340,0,0
2376,0,0
2412,0,0
2448,0,0
2484,0,0
2520,0,0
2556,0,0
2592,0,0
2628,0,0
2664,0,0
2700,0,0
2736,0,0
2772,0,0
2808,0,0
2844,0,0
2880,0,0
2916,0,0
2952,0,0
2988,0,0
3024,0,0
3060,0,0
3096,0,0
3132,0,0
3168,0,0
3204,0,0
3240,0,0
3276,0,0
3312,0,0
3348,0,0
3384,0,0
3420,0,0
3456,0,0
3492,0,0
3528,0,0
3564,0,0
3600,0,0
